"Banco de México"

"Balanza de pagos"
""

"Fecha de consulta: 15/10/2013 03:21:00"

""

"Título","Remesas Familiares, Total","Remesas Familiares, Money Orders","Remesas Familiares, Cheques Personales","Remesas Familiares, Transferencias Electrónicas","Remesas Familiares, Efectivo y Especie","Remesas Familiares, Total","Remesas Familiares, Money Orders","Remesas Familiares, Cheques Personales","Remesas Familiares, Transferencias Electrónicas","Remesas Familiares, Efectivo y Especie"
"Periodo disponible","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013","Ene 1995 - Ago 2013"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos","Flujos"
"Unidad","Millones de Dólares","Millones de Dólares","Millones de Dólares","Millones de Dólares","Millones de Dólares","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones","Miles de Operaciones"
"Base","","","","","","","","","",""
"Aviso","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SE27803","SE27804","SE27805","SE27806","SE27807","SE27808","SE27809","SE27810","SE27811","SE27812"
01/02/1999,388.8511,88.3360,1.9428,263.6260,34.9462,1390.1245,242.7861,2.0265,1096.4360,48.8758
01/03/1999,464.8977,112.8963,2.8645,313.6372,35.4997,1638.3055,282.7956,3.6786,1302.1813,49.6500
01/04/1999,469.1828,110.6934,2.9630,324.8874,30.6391,1650.7965,278.6531,4.4771,1324.8145,42.8518
01/05/1999,571.5620,140.8904,3.4150,386.0710,41.1856,2082.8104,378.6629,4.6982,1641.8470,57.6022
01/06/1999,521.9225,141.4545,5.8997,346.7998,27.7685,1829.7266,363.1954,5.6951,1421.9990,38.8370
01/07/1999,506.6642,132.1972,6.0676,337.8800,30.5193,1781.5129,337.4300,6.2000,1394.5315,43.3513
01/08/1999,532.0997,145.0551,5.7025,350.3584,30.9837,1852.9967,350.6449,6.2000,1452.1410,44.0109
01/09/1999,490.4829,131.4046,5.4602,322.5303,31.0877,1748.8116,331.6707,6.2000,1366.7821,44.1587
01/10/1999,474.5069,114.4552,4.6257,332.3668,23.0592,1779.5738,292.5726,5.2302,1449.0165,32.7545
01/11/1999,502.0073,112.5269,4.4857,340.3085,44.6862,1821.2083,276.1452,4.9257,1476.6628,63.4747
01/12/1999,587.7353,122.8688,4.8354,366.9473,93.0837,2004.6554,297.2164,5.2966,1619.4039,82.7385
01/01/2000,456.2456,108.3258,0.6069,294.7799,52.5330,1236.0254,273.1956,1.4358,890.1145,71.2795
01/02/2000,447.1870,104.2078,0.4648,306.5198,35.9946,1235.9960,259.3159,0.6258,929.9664,46.0878
01/03/2000,494.4502,117.0774,1.0388,339.7692,36.5647,1384.8294,310.7850,1.3388,1020.7671,51.9385
01/04/2000,498.8308,116.7947,0.7745,349.3970,31.8646,1391.4766,308.0723,1.4242,1037.4142,44.5659
01/05/2000,590.7496,152.1522,0.7745,395.4018,42.4211,1679.4433,407.5264,1.4242,1212.0614,58.4313
01/06/2000,541.5775,136.3405,0.7745,375.5832,28.8792,1482.5475,348.4031,1.4242,1095.2147,37.5055
01/07/2000,557.5980,110.2178,0.7080,414.8139,31.8583,1542.5133,277.0697,1.3158,1230.7460,33.3818
01/08/2000,608.0612,138.2823,0.7080,436.9070,32.1640,1655.5801,329.8939,1.3158,1278.6829,45.6875
01/09/2000,568.5493,124.6318,0.7080,410.9375,32.2720,1605.2467,310.9197,1.3158,1247.1703,45.8409
01/10/2000,559.5235,106.6314,0.6775,428.4719,23.7427,1665.1787,263.0356,1.2320,1340.0909,60.8203
01/11/2000,583.1218,104.7031,0.6775,431.3527,46.3885,1492.1981,246.6082,1.2320,1178.4652,65.8927
01/12/2000,666.8485,115.0450,0.6775,458.0423,93.0837,1628.0013,267.6794,1.2320,1276.3515,82.7385
01/01/2001,654.9820,71.5006,1.7057,554.2757,27.5000,2061.0176,159.5575,2.0435,1857.1089,42.3077
01/02/2001,637.6737,55.0787,0.9570,557.4381,24.2000,2073.5436,138.4406,0.8972,1896.9751,37.2308
01/03/2001,718.0550,72.7622,0.6377,620.4551,24.2000,2247.5151,177.9254,0.4237,2031.9353,37.2308
01/04/2001,734.8058,90.6161,0.1146,633.2468,10.8283,2323.7671,217.7185,0.1994,2081.4831,24.3661
01/05/2001,798.2438,80.6416,1.2052,700.0534,16.3436,2569.3457,184.1293,0.8722,2349.4667,34.8774
01/06/2001,747.8370,67.3577,1.2052,668.2741,11.0000,2347.1686,153.8520,0.8722,2167.7530,24.6914
01/07/2001,796.5951,77.8116,0.7000,702.8794,15.2042,2423.8740,185.7078,0.8526,2203.8978,33.4158
01/08/2001,789.3075,60.0000,0.7000,708.8251,19.7824,2414.3771,143.1981,0.8526,2226.8486,43.4778
01/09/2001,772.0803,52.5214,0.7000,707.8588,11.0000,2324.1468,125.3494,0.8526,2173.7689,24.1758
01/10/2001,792.8295,60.8004,0.7000,708.4849,22.8442,2440.3009,145.1084,0.7500,2244.2355,50.2071
01/11/2001,693.8224,49.0163,0.7504,619.2963,24.7594,2158.4306,116.9840,0.7800,1986.2503,54.4163
01/12/2001,759.0318,65.1815,0.8025,602.4451,90.6027,2360.7855,155.5645,0.8400,2026.7287,177.6523
01/01/2002,711.0430,65.3890,1.7820,615.3270,28.5450,2225.2020,151.3230,2.1150,2030.3340,41.4300
01/02/2002,718.8650,55.8040,1.0000,637.0140,25.0470,2262.8290,133.6360,0.9290,2088.8200,39.4440
01/03/2002,744.5270,62.0450,0.6720,650.1850,31.6250,2301.4910,144.6160,0.4450,2106.6270,49.8030
01/04/2002,805.8720,66.3740,0.7390,720.9460,17.8130,2496.5170,165.4130,0.7750,2302.2780,28.0510
01/05/2002,912.2050,69.6060,0.1260,820.5280,21.9450,2765.6560,191.6610,0.1410,2542.7260,31.1280
01/06/2002,860.0030,57.6570,1.1450,784.7420,16.4590,2514.8310,155.6030,0.9160,2332.9910,25.3210
01/07/2002,843.0738,56.3331,0.6650,769.5207,16.5550,2491.2730,154.5260,0.6990,2310.5790,25.4690
01/08/2002,849.1376,52.6956,0.7018,777.9752,17.7650,2565.9040,149.7030,0.8510,2389.4160,25.9340
01/09/2002,860.5997,51.9961,0.6610,794.3575,13.5850,2505.3340,141.9070,0.7180,2343.8410,18.8680
01/10/2002,848.2830,50.9390,0.6000,779.5840,17.1600,2615.0130,121.5730,0.6520,2467.5530,25.2350
01/11/2002,741.4380,45.5860,0.8500,675.2020,19.8000,2305.5020,108.7970,0.9770,2168.4180,27.3100
01/12/2002,919.4010,52.0840,1.1200,772.6970,93.5000,2904.2990,161.2500,1.2440,2620.3760,121.4290
01/01/2003,1051.2547,116.5441,1.2000,914.5116,18.9990,3443.3760,334.4570,1.3000,3079.6190,28.0000
01/02/2003,979.7597,102.4630,1.3000,855.3717,20.6250,3168.4500,288.7640,1.4000,2847.7300,30.5560
01/03/2003,1139.1124,130.9429,1.7000,990.5745,15.8950,3717.1090,364.9450,1.8000,3330.0980,20.2660
01/04/2003,1202.5097,136.0511,1.8217,1048.6370,16.0000,3801.3310,379.1490,1.8630,3399.3190,21.0000
01/05/2003,1350.9669,170.8914,0.4000,1159.6755,20.0000,4470.8320,483.4250,0.5000,3960.9070,26.0000
01/06/2003,1351.1707,160.0110,0.0000,1181.6596,9.5000,4205.9580,426.6030,0.0000,3767.3550,12.0000
01/07/2003,1361.3620,160.5845,0.0000,1180.4055,20.3720,4156.7950,422.4060,0.0000,3707.0430,27.3460
01/08/2003,1401.2462,154.9001,0.0000,1228.3461,18.0000,4277.5430,391.9630,0.0000,3861.8800,23.7000
01/09/2003,1365.5085,147.2960,0.0000,1201.2125,17.0000,4259.6730,368.9100,0.0000,3867.7630,23.0000
01/10/2003,1391.0112,139.1831,0.0000,1239.1281,12.7000,4365.7160,382.1880,0.0000,3966.0110,17.5170
01/11/2003,1203.7084,114.4891,0.0000,1078.2193,11.0000,3828.2540,301.2450,0.0000,3512.0090,15.0000
01/12/2003,1341.0761,131.9213,0.0000,1134.6548,74.5000,4290.8994,353.9944,0.0000,3833.0000,103.9050
01/01/2004,1081.8635,128.4658,0.0000,938.3734,15.0244,3559.8830,335.1800,0.0000,3207.3140,17.3890
01/02/2004,1171.7737,127.2168,0.0000,1026.5277,18.0292,3763.9676,322.2010,0.0000,3418.3520,23.4146
01/03/2004,1480.2240,164.2584,0.0000,1303.4372,12.5285,4606.8750,393.3420,0.0000,4196.9390,16.5940
01/04/2004,1513.5151,163.3316,0.0000,1337.4409,12.7426,4583.3296,399.2480,0.0000,4167.3590,16.7226
01/05/2004,1770.3978,177.1527,0.0000,1575.8351,17.4100,5588.3793,468.0050,0.0000,5098.7470,21.6273
01/06/2004,1684.7248,171.2855,0.0000,1500.6967,12.7426,5181.2086,456.3020,0.0000,4708.1840,16.7226
01/07/2004,1654.3760,161.7648,0.0000,1476.5385,16.0728,4982.5409,386.5120,0.0000,4575.5540,20.4749
01/08/2004,1786.8078,163.1248,0.0000,1612.2292,11.4538,5451.3025,394.7050,0.0000,5038.0790,18.5185
01/09/2004,1586.8407,152.2337,0.0000,1424.1306,10.4765,4806.9460,355.8630,0.0000,4437.9050,13.1780
01/10/2004,1529.9477,152.4291,0.0000,1361.5532,15.9654,4744.8689,362.7740,0.0000,4357.9780,24.1169
01/11/2004,1506.1644,143.4161,0.0000,1346.7830,15.9654,4666.3199,329.7060,0.0000,4312.4970,24.1169
01/12/2004,1565.1123,164.9872,0.0000,1324.9251,75.2000,5077.7750,398.9890,0.0000,4569.0050,109.7810
01/01/2005,1367.5563,142.8181,0.0000,1209.7138,15.0244,4292.1453,331.0190,0.0000,3943.7370,17.3893
01/02/2005,1428.3770,125.9154,0.0000,1280.4639,21.9977,4426.6196,298.1590,0.0000,4100.1860,28.2746
01/03/2005,1691.5896,152.3667,0.0000,1526.0638,13.1591,5128.2022,358.2760,0.0000,4752.6570,17.2692
01/04/2005,1753.3032,141.4395,0.0000,1589.6897,22.1740,5229.6338,326.7460,0.0000,4874.8550,28.0328
01/05/2005,2057.2773,158.3554,0.0000,1883.4696,15.4523,6365.6311,407.2700,0.0000,5939.3780,18.9831
01/06/2005,1923.2802,155.8387,0.0000,1755.4414,12.0000,5702.2986,361.7420,0.0000,5325.1720,15.3846
01/07/2005,1840.3006,144.9324,0.0000,1675.3683,20.0000,5362.1545,322.8780,0.0000,5013.9600,25.3165
01/08/2005,2059.2229,160.1523,0.0000,1878.6064,20.4642,5937.0029,363.4250,0.0000,5548.6950,24.8829
01/09/2005,1885.9905,138.2636,0.0000,1732.8538,14.8731,5580.0029,365.4270,0.0000,5195.9380,18.6379
01/10/2005,1862.2776,135.2340,0.0000,1710.8652,16.1784,5512.9770,299.5700,0.0000,5192.3770,21.0300
01/11/2005,1886.9538,130.0911,0.0000,1736.0231,20.8397,5542.2043,281.7830,0.0000,5232.5980,27.8233
01/12/2005,1932.1420,162.4610,0.0000,1688.6810,81.0000,5842.8280,350.6120,0.0000,5389.8140,102.4020
01/01/2006,1758.3057,130.1507,0.0000,1611.0557,17.0993,5293.9700,283.7730,0.0000,4990.7600,19.4370
01/02/2006,1823.1898,108.7512,0.0000,1699.2707,15.1678,5364.6480,233.6570,0.0000,5111.0210,19.9700
01/03/2006,2152.8362,130.6042,0.0000,2005.3921,16.8400,6155.6740,294.9670,0.0000,5838.9140,21.7930
01/04/2006,2072.7017,100.9622,0.0000,1952.6704,19.0691,5935.5580,219.1840,0.0000,5690.2840,26.0900
01/05/2006,2534.5990,127.9127,0.0000,2365.5199,41.1665,7286.6100,286.6830,0.0000,6933.1150,66.8120
01/06/2006,2340.2623,120.8983,0.0000,2186.3497,33.0143,6629.6647,267.0520,0.0000,6293.4957,69.1170
01/07/2006,2191.6469,106.0077,0.0000,2045.4146,40.2247,6312.8670,229.1570,0.0000,6006.2100,77.5000
01/08/2006,2334.2835,112.3370,0.0000,2191.5940,30.3524,6624.7160,231.2220,0.0000,6338.8360,54.6580
01/09/2006,2140.9586,98.6337,0.0000,2017.6445,24.6804,6186.9510,205.4430,0.0000,5931.7090,49.7990
