"OBJECTID","TIPO","NOMBRE","SHAPE_Length","INICIOX","INICIOY","FINALX","FINALY","CENTROIDEX","CENTROIDEY"
3970,"","CANCER",62.940846,665435.716737,2287824.997272,665412.780929,2287766.384408,665424.314437,2287795.665121
3971,"","RINCONADA DE LAS LILAS",76.815876,665534.576385,2287957.035929,665581.618050,2288010.270361,665549.280787,2287992.484479
3972,"","PASEO DE LA LUNA",86.141332,665589.389186,2288104.794137,665619.405058,2288024.051481,665604.397122,2288064.422809
3973,"","DEL TORO PASEO",31.013564,665348.830337,2287988.887577,665339.991297,2288018.614297,665344.372473,2288003.739773
3974,"","PASEO DEL BOSQUE",32.022597,665454.106625,2288057.242521,665462.090625,2288026.231193,665458.098625,2288041.736857
3975,"","PASEO PUESTA DEL SOL",81.093831,665348.830337,2287988.887577,665271.455361,2287964.611609,665310.142849,2287976.749593
3976,"","PASEO PUESTA DEL SOL",119.258172,665462.090625,2288026.231193,665348.830337,2287988.887577,665405.466974,2288007.539215
3977,"","PASEO PUESTA DEL SOL",91.121807,665589.389186,2288104.794137,665513.430529,2288057.966489,665547.447571,2288088.275511
3978,"","NOCTURNO PASEO",156.380599,665646.352130,2288166.265753,665496.802433,2288136.396825,665571.373088,2288159.911510
3979,"","PASEO DE LA LLUVIA",119.008085,665601.867650,2288358.047001,665607.730946,2288242.122905,665613.275590,2288299.646744
3980,"","ARCO IRIS PASEO DEL",132.166646,665607.730946,2288242.122905,665484.018689,2288196.693657,665546.496197,2288218.224255
3981,"","PASEO AMANECER",80.173631,665496.802433,2288136.396825,665513.430529,2288057.966489,665505.116481,2288097.181657
3982,"","GARCIA ARCE CARLOS",96.195026,665388.102785,2288309.441049,665408.930433,2288215.527833,665398.516609,2288262.484441
3983,"","LIBRA",154.408729,665297.215617,2287812.611224,665271.455361,2287964.611609,665287.829977,2287889.242890
3984,"","RINCONADA DEL PEÑON",44.958935,665262.476673,2288330.912537,665305.262465,2288343.827481,665283.255581,2288339.242339
3985,"","RINCONADA DEL PEÑON",49.941998,665353.326721,2288356.787609,665305.262465,2288343.827481,665329.708495,2288348.920854
3986,"","PASEO LOMAS ALTAS",61.400725,665601.867650,2288358.047001,665661.717890,2288371.758233,665631.792770,2288364.902617
3987,"","PASEO PUESTA DEL SOL",62.123242,665646.352130,2288166.265753,665664.036866,2288225.818649,665655.194498,2288196.042201
3988,"","RINCONADA DE LAS LILAS",46.401039,665619.405058,2288024.051481,665662.357378,2288041.402393,665641.160799,2288032.110749
3989,"","LEO",139.075712,665539.138817,2287785.180568,665668.928130,2287735.212696,665604.033474,2287760.196632
3990,"","BRISAS PASEO",138.426462,665558.686593,2287835.577112,665687.825282,2287785.726488,665623.255938,2287810.651800
