Mercados y Plazas Comerciales,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Nombre,Ubicación,Tipo,Descripción Tipo,Clase,Descripción Clase
178,Jardines de San Ignacio,5A,Plaza Ivanna Carolina,Av. San Ignacio N° 3720 esq. San Gilberto,3,Plaza Comercial,2,Privado
178,Jardines de San Ignacio,5A,Plaza Don José,Av. San Ignacio N° 3718 esq. San Gilberto,3,Plaza Comercial,2,Privado
179,Jardín de Vallarta,5A,Plaza Sanzio,Palomar y Arias Juan Nº 123,3,Plaza Comercial,2,Privado
182,Jardines del Ixtépete,8,Inexistente,,99,NINGUNO,99,NINGUNO
185,Jardines de Guadalupe,5A,,,,Desconocido,,Desconocido
185,Jardines de Guadalupe,5A,Plaza Cordilleras,"Manuel J. Clouthier Nº 888, Tel. 36203282, 38180016 ext. 19 Admón. Lic. José Luís Navarro García",3,Plaza Comercial,2,Privado
186,Jardines de la Esperanza,2A,inexistente,,99,NINGUNO,99,NINGUNO
189,Jardines de los Belenes,2B,-Inexistente-,,99,NINGUNO,99,NINGUNO
191,Jardines de Nuevo México,4,- Inexistente -,,99,NINGUNO,99,NINGUNO
194,Jardines de Tabachines,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
195,Jardines del Auditorio,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
196,Jardines del Porvenir,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
197,Jardines del Sol,6,Inexistente,,99,NINGUNO,99,NINGUNO
198,Jardines del Valle,4,Jardines del Valle,Av. Federalistas y Valle de Atemajac,3,Plaza Comercial,2,Privado
199,Jardines del Vergel ,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
201,Jardines Universidad,5B,Plaza Comercial,Naciones Unidas y Patria,3,Plaza Comercial,2,Privado
201,Jardines Universidad,5B,Plaza Amistad,"Av. Patria Nº 600, Tel. 36730568, Administrador Ubaldo Martínez Salinas",3,Plaza Comercial,1,Público
202,Jardines Vallarta,5B,Plaza Inglaterra,Patria Nº 5003,3,Plaza Comercial,2,Privado
206,Lagos del Country,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
211,Loma Bonita Residencial,6,Inexistente,,99,NINGUNO,99,NINGUNO
212,Loma Bonita Sur,6,Inexistente,,99,NINGUNO,99,NINGUNO
213,Loma Real,5B,Inexistente,,99,NINGUNO,99,NINGUNO
214,"Loma, La",1B,Inexistente,,99,NINGUNO,99,NINGUNO
215,Lomas Altas,5B,Inexistentes,,99,NINGUNO,99,NINGUNO
216,Lomas de Atemajac,1B,Sin nombre,Enrique Díaz de León y Lomas del Camino,3,Plaza Comercial,2,Privado
