Bibliotecas,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Biblioteca,Domicilio,Teléfono
172,Industrial Los Belenes,1B,-Inexistente-,,
173,Industrial Zapopan Norte,3,-Inexistente-,,
175,Ixcatán Poblado,RN,-Inexistente-,,
176,Jacarandas,1A,-Inexistente-,,
177,Jardines de Santa Ana  ,8,-Inexistente-,,
178,Jardines de San Ignacio,5A,-Inexistente-,,
179,Jardín de Vallarta,5A,-Inexistente-,,
180,Jardines Tapatíos,7,-Inexistente-,,
181,Jardines Tepeyac,5A,-Inexistente-,,
182,Jardines del Ixtépete,8,-Inexistente-,,
183,Jardín Real,4,-Inexistente-,,
184,Jardines de Chapalita,5A,-Inexistente-,,
185,Jardines de Guadalupe,5A,-Inexistente-,,
186,Jardines de la Esperanza,2A,-Inexistente-,,
187,Jardines de la Patria,5B,-Inexistente-,,
189,Jardines de los Belenes,2B,-Inexistente-,,
190,Jardines de los Robles ,3,-Inexistente-,,
191,Jardines de Nuevo México,4,"Biblioteca Pública Municipal ""Nuevo México""",Idolina Gaona de Cosio. Horario de Lunes a Viernes de 9:00 a 17:00 hrs.,36 24 18 30
193,Jardines de Santa Margarita,4,-Inexistente-,,
194,Jardines de Tabachines,2A,-Inexistente-,,
195,Jardines del Auditorio,2A,-Inexistente-,,
196,Jardines del Porvenir,2A,-Inexistente-,,
197,Jardines del Sol,6,-Inexistente-,,
198,Jardines del Valle,4,-Inexistente-,,
200,Jardines del Vigía,1B,-Inexistente-,,
201,Jardines Universidad,5B,-Inexistente-,,
202,Jardines Vallarta,5B,-Inexistente-,,
203,Jocotán,5A,-Inexistente-,,
204,"Joya, La",2A,-Inexistente-,,
205,Juan Manuel Vallarta,7,-Inexistente-,,
206,Lagos del Country,1B,-Inexistente-,,
207,Linda Vista,1A,-Inexistente-,,
209,Loma Bonita,6,-Inexistente-,,
210,Loma Bonita Ejidal,6,-Inexistente-,,
211,Loma Bonita Residencial,6,-Inexistente-,,
212,Loma Bonita Sur,6,-Inexistente-,,
213,Loma Real,5B,-Inexistente-,,
214,"Loma, La",1B,-Inexistente-,,
215,Lomas Altas,5B,-Inexistente-,,
216,Lomas de Atemajac,1B,-Inexistente-,,
217,Lomas de Guadalupe,5A,-Inexistente-,,
218,Lomas de la Primavera,7,Biblioteca de la UNIVA,Ricardo Rizo y Jazmín (Templo),
221,Lomas de Zapopan,3,-Inexistente-,,
222,Lomas del Batán,1B,Atemajac,Hidalgo No. 10 (Delegación Atemajac),
223,Lomas del Bosque,1A,-Inexistente-,,
224,Lomas del Camino,1B,-Inexistente-,,
225,Lomas del Centinela,2A,-Inexistente-,,
226,Lomas del Colli ,5A,-Inexistente-,,
228,Lomas del Refugio,2B,-Inexistente-,,
229,Lomas del Seminario Norte,5A,-Inexistente-,,
230,Lomas del Valle,5B,-Inexistente-,,
231,Lomas del Vergel,2A,-Inexistente-,,
232,Lomas Universidad,5A,-Inexistente-,,
233,"Maestros, Los",1B,-Inexistente-,,
234,"Magdalena, La",RS,-Inexistente-,,
235,"Mante, El",8,-Inexistente-,,
236,Marcelino García Barragán,3,-Inexistente-,,
237,Mariano Otero,7,-Inexistente-,,
238,"Martinica, La",2A,,,
238,"Martinica, La",2A,-Inexistente-,,
239,Mesa Colorada ,RN,-Inexistente-,,
240,Mesa Colorada Poniente,2B,-Inexistente-,,
241,Mesa de los Ocotes,2B,-Inexistente-,,
242,Mezquitán,2B,-Inexistente-,,
243,Miguel de la Madrid,8,-Inexistente-,,
244,Miguel Hidalgo,2B,-Inexistente-,,
245,Milpillas Mesa de San Juan,RS,-Inexistente-,,
247,Mirador de San Isidro (ó Mirador de la Cañada),3,-Inexistente-,,
248,Mirador del Sol,6,-Inexistente-,,
249,Mirador Escondido,2B,-Inexistente-,,
250,Miramar,7,-Inexistente-,,
251,Misión Jardines,4,-Inexistente-,,
251,Misión Jardines,4,,,
252,Misión de San Isidro (ó Misión del Bosque),3,-Inexistente-,,
254,Molino del Salvador,2B,-Inexistente-,,
255,Nextipac,RS,-Inexistente-,,
256,Núcleo Belenes,1B,-Inexistente-,,
257,Nueva España,2B,"Biblioteca Pública Municipal No. 8992 ""Nueva España""",Gibraltar s/n. (Horario de Lunes a Viernes de 9:00 a 18:00 hrs.,
258,Nueva Primavera (ó Colli Nueva Primavera),6,-Inexistente-,,
259,Nuevo México,4,-Inexistente-,,
260,Nuevo Vergel,2A,-Inexistente-,,
261,Palmira,8,-Inexistente-,,
262,"Palmita, La",1B,-Inexistente-,,
263,Palo Gordo,RS,-Inexistente-,,
264,"Paraíso, El (ó Paraísos de la Seattle)",1B,-Inexistente-,,
266,Paraísos del Colli,7,"Bliblioteca Pública Municipal No. 6883 ""Paraísos del CollÍ""",Prolongación El Colli Nº 1000-2. Horario Lun a Vier de 9:00 a 20:00 hrs. ,3180 9045
267,Paraíso Los Pinos,8,-Inexistente-,,
268,Parque Industrial Belenes Norte,1A,-Inexistente-,,
269,Parques de la Castellana,5B,-Inexistente-,,
270,Parque Regency,5B,-Inexistente-,,
271,Parques de Tesistán,RS,-Inexistente-,,
272,Parques de Zapopan,4,-Inexistente-,,
273,Parques del Auditorio,2A,-Inexistente-,,
274,Paseos del Briseño,8,-Inexistente-,,
275,Paseos del Sol ,6,-Inexistente-,,
276,Paseos Universidad,5A,-Inexistente-,,
277,Paso de Guadalupe (ó El Morado),RN,-Inexistente-,,
278,Patria Ives,1B,-Inexistente-,,
279,Patria Raquet,1B,-Inexistente-,,
280,"Patria Universidad, La",5B,-Inexistente-,,
281,Patria Zoquipan,1B,-Inexistente-,,
282,Pedregal de Zapopan,2B,-Inexistente-,,
283,Pedro Moreno,1B,-Inexistente-,,
284,Periodistas,6,-Inexistente-,,
285,Pinar de la Calma,6,-Inexistente-,,
286,Pinar de la Venta,RS,-Inexistente-,,
287,"Pinos Campestre, Los",8,-Inexistente-,,
288,"Pinos, Los   (fraccionamiento)",7,-Inexistente-,,
289,Pirámides,6,-Inexistente-,,
290,"Prado, El ",1A,-Inexistente-,,
291,Praderas de San Antonio,4,-Inexistente-,,
292,Prados de San Ignacio,1B,-Inexistente-,,
293,Prados de Santa Lucia ,RS,-Inexistente-,,
294,Prados Guadalupe,5A,-Inexistente-,,
295,Prados Tepeyac,6,-Inexistente-,,
296,Prados Vallarta,5A,-Inexistente-,,
297,"Primavera, La",RS,-Inexistente-,,
298,Primavera Norte,6,-Inexistente-,,
299,Puerta de Hierro,5B,-Inexistente-,,
300,Puerta del Bosque  (antes Lomas de Santa Ana Tepetitlán),7,-Inexistente-,,
301,Puerta del Sol,5B,-Inexistente-,,
