DELITOS PATRIMONIALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO DE VEHÍCULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,164,158,200,165,178,169,,"2,240",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL 2001-2003,,,1832,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,70,77,93,96,87,76,,"1,044",,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,91,84,105,98,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,68,59,73,81,100,88,,"1,267",,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,121,123,162,129,143,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,123,131,149,114,146,111,,"1,480",,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,97,94,143,159,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTA:  2004 - 2005  INCLUYE MOTOCICLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL 2004-2006,,,3791,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,89,113,100,94,107,94,,"1,182",,,,,,,,,,,,,,,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,94,90,93,100,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
