Infraestructura Deportiva,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Espacio Deportivo,Administrado por,Domicilio,Tipo,Descripción Tipo,Clase,Descripción Clase
120,Ejido Zapopan,?,-Inexistente-,,,99,NINGUNO,99,NINGUNO
121,Emiliano Zapata,2A,Basquetbol,,Abelardo Rodríguez No. 222,2,Cancha Individual,1,Público
122,"Estancia, La",5A,Unidad Deportiva,Vecinos,J. Sebastian Bach  y C. Millet,1,Unidad Deportiva,1,Público
124,Eucalipto Vallarta,5A,- Inexistente -,,,99,NINGUNO,99,NINGUNO
125,Exitmex,5A,- Inexistente -,,,99,NINGUNO,99,NINGUNO
126,Exhacienda del Lazo,RN,- Inexistente -,,,99,NINGUNO,99,NINGUNO
127,"Experiencia, la",2B,Club Imperio,Asoc. Civil,Av. Imperio s/n,1,Unidad Deportiva,1,Público
128,"Flores, Las",5A,- Inexistente -,,,99,NINGUNO,99,NINGUNO
129,"Floresta del Colli, La",7,- Inexistente -,,,99,NINGUNO,99,NINGUNO
130,"Florida, La",8,- Inexistente -,,,99,NINGUNO,99,NINGUNO
131,Fortín ,7,Canchas de usos multiples El Fortin,COMUDE,Francisco Montes de Oca S/N esq. Domingo Alvarez,1,Unidad Deportiva,1,Público
132,"Fortines, Los",7,- Inexistente -,,,99,NINGUNO,99,NINGUNO
133,"Bosques del Centinela, Fraccionamiento",2A,- Inexistente -,,,99,NINGUNO,99,NINGUNO
134,"Cristal, Fraccionamiento",8,Inexistente,,,99,NINGUNO,99,NINGUNO
136,"Los Paraísos, Fraccionamiento",1B,-Inexistente-,,,99,NINGUNO,99,NINGUNO
137,Francisco Sarabia,8,Cancha de Basquetbol,,Villa Juárez y Hernán Cortés,2,Cancha Individual,1,Público
139,Francisco Villa (antes villa de Torremolinos),3,Club Deportivo ,,Valdepeñas N° 2837,3,Club Deportivo,2,Privado
140,"Fresno, El",4,Cancha de Fútbol,,Fresno y Pirul,2,Cancha Individual,1,Público
141,"Fuentes, Las",6,- Inexistente -,,,99,NINGUNO,99,NINGUNO
143,"Giralda, la",6,Soccer Sol,Particular,"La Giralda No. 3440, casi López Mateos",3,Club Deportivo,2,Privado
144,Girasoles,4,-Inexistente-,,,99,NINGUNO,99,NINGUNO
145,Girasoles Elite,4,Cancha multiusos ,COMUDE,Azaleas Norte y Privado Crisantemas,1,Unidad Deportiva,1,Público
