DECOMISOS,,,,,,,,,,,
VEGETAL VERDE (GRS.),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2001,,,,,,,,ANUAL,,,
,"28,245","27,975","7,200","6,605","8,350","5,040",,"141,760",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"5,450","13,540","8,170","2,685","24,000","4,500",,,,,
,,,,,,,,,,,
2002,,,,,,,,ANUAL,,,
,"3,315","3,955","3,340","5,205","9,505","9,150",,"148,759",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"7,230","34,139","7,295","8,045","48,445","9,135",,,,,
,,,,,,,,,,,
2003,,,,,,,,ANUAL,,,
,"8,200","8,330","8,570","11,230","12,220","10,975",,"116,945",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"11,630","13,180","6,810","7,490","11,795","6,515",,,,,
,,,,,TOTAL 2001-2003,,,"407,464",,,
,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"26,045","28,230","12,410","11,295","13,497","69,090",,"362,325",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"63,875","40,250","34,055","15,660","37,540","10,378",,,,,
,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"39,265","34,935","19,055","18,185","18,635","19,740",,"302,403",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"20,680","24,070","16,835","35,400","37,690","17,913",,,,,
,,,,,,,,,,,
2006,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"52,753","50,207","93,605","57,185","37,055","26,892",,"404,948",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"26,940","17,507","12,156","11,490","10,060","9,098",,,,,
,,,,,TOTAL    2004-2006,,,"1,069,676",,,
,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"25,635","9,547","12,735","11,810","8,460","14,562",,"180,011",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"12,780","48,315","10,315","6,595","11,538","7,719",,,,,
,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"3,985","5,065","5,015","4,205","4,420","3,502",,"50,567",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"4,510","6,865","2,875","1,065","4,100","4,960",,,,,
,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,"14,766","3,030","3,355","4,340","41,955","8,623",,"161,684",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,"11,885","43,970","7,440","19,795","2,525",,,,161684,,
,,,,,,,,,,,
,,,,,,,,,TRUE,,
PASTILLAS (PIEZAS),,,,,,,,,,,
,,,,,,,,,,,
2001,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,69.00,749.00,74.00,297.00,174.00,189.50,,"2,386.00",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,277.50,56.50,104.00,147.00,161.00,87.50,,,,,
,,,,,,,,,,,
2002,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,5426.00,74.50,42.00,134.00,170.00,740.00,,"7,831.25",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,248.75,151.50,147.00,216.50,285.00,196.00,,,,,
,,,,,,,,,,,
2003,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,126.50,220.50,74.50,115.50,118.00,104.00,,"2,373.00",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,64.50,623.00,140.50,96.50,479.50,210.00,,,,,
,,,,,TOTAL 2001-2003,,,"12,590",,,
,,,,,,,,,,,
2004,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,125.00,299.00,454.00,161.00,654.00,319.50,,"5,478.00",,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,632.00,318.50,164.00,304.50,1745.50,301.00,,,,,
,,,,,,,,,,,
2005,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,133.00,304.00,359.00,619.50,833.00,470.00,,"5,074.50",,,
